query,answer
"The Vitamin A supplement administered in ""Prevention of nutritional blindness in children programme"" contains",C. 1 lakh IU/ml
An extracted tooth is discarded in which bag?,A. Yellow
What could be the possible diagnosis as per the given X-ray?,"To provide an accurate diagnosis, I would need a description of the X‑ray findings (e.g., location of the abnormality, presence of avulsion, calcification, fragmentation, etc.). Based on the options:
- **Osgood‑Schlatter disease** – fragmentation/irregularity of the tibial tubercle (visible on knee X‑ray).
- **Pellegrini‑Stieda lesion** – calcification of the medial collateral ligament near the medial femoral condyle (visible on knee X‑ray).
- **Segond fracture** – avulsion fracture of the lateral tibial plateau (visible on knee X‑ray).
- **SLAP tear** – a superior labral tear of the shoulder; not visible on plain X‑ray (requires MRI).

If you can describe what the X‑ray shows, I can narrow the diagnosis to the most likely choice."
"30yo farmer: high fever, painful inguinal lymphadenopathy, vomiting, diarrhea, hypotension → diagnosis stain?",A. Wayson's stain
A person is said to be mentally retarded when IQ is- Answer Choices: A. < 100 B. <90 C. <80 D. <70,D. <70
A neonate presenting with ascites is diagnosed having urinary ascites. What is the most common cause among the given options?,C. Posterior urethral valve
The principal vector of dengue virus-,B. Aedes aegypti
Best for systemic aspergillosus infection ? Answer Choices: A. Ketoconazole B. Itraconazole C. Fluconazole D. Flucytocine,B. Itraconazole
"In Epidemic dropsy disease, toxin is:- Answer Choices: A. Ergot toxin B. Sanguinarine C. BOAA D. Alkaloids",B. Sanguinarine
OPV bivalent vaccine composition - which polio virus types are included,A
"A 42-year-old female with bleeding gums, thickened gums, hepatosplenomegaly, lymphadenopathy, and bone marrow showing peroxidase-negative, nonspecific esterase-positive blasts.",D. Acute monocytic leukemia
"True regarding predisposing factors for penile carcinoma are all except: March 2012, March 2013 (e). Answer Choices: A. Paget's disease, B. Genital warts, C. Circumcision, D. Leucoplakia",C. Circumcision
Which of the following is the classical CSF finding seen in TBM?,"A. Increased protein, decreased sugar, increased lymphocytes"
Winter bottom's sign in sleeping sickness refers to- Answer Choices: A. Unilateral conjunctivitis B. Posterior cervical lymphadenopathy C. Narcolepsy D. Transient erythema,B. Posterior cervical lymphadenopathy
Osteomeatal complex (OMC) connects: Answer Choices: A. Nasal cavity with maxillary sinus B. Nasal cavity with sphenoid sinus C. The two nasal cavities D. Ethmoidal sinus with ethmoidal bulla,A. Nasal cavity with maxillary sinus
"A female presented with long standing nasal obstruction. She also complaints about comments from her friends telling about foul smell coming from her nose which she could not recognise. On evaluation, atrophic rhinitis is diagnosed. What can be the etiology in this patient to develop secondary atrophic rhinitis? Answer Choices: A. Chronic sinusitis B. Nasal trauma C. Oropharyngeal cancer D. Strong hereditary factors",A. Chronic sinusitis
Clostridium difficile causes -,A. Pseudomembranous colitis
Which of the following exocrine glandular ducts are not obstructed in cystic fibrosis: A. Pancreas B. Lung C. Sweat gland D. All of above,C. Sweat gland
"A 70-year-old man with a chronic productive cough, long-term smoker, presents with hemoptysis and a left lung mass found on chest X-ray; biopsy performed via fiberoptic bronchoscopy. Assuming the cancer is etiologically related to smoking, which of the following diagnoses are most likely to be returned by the pathology laboratory?",D. Small cell carcinoma or squamous cell carcinoma
Distal interphalangeal joints are involved in all except?,B. Rheumatoid ahritis
Long connective tissue papillae and keratinized epithelia are a feature of these parts of oral mucosa,B. hard palate and gingiva
In which type of nerve fibers is conduction blocked maximally by pressure,A. A alpha
Occult thyroid malignancy with nodal metastasis is seen in -,Papillary carcinoma
Which of the following decreases affinity of oxygen with hemoglobin?,"B. 2,3 BPG"
The muscle of hand that contains a sesamoid bone is,A. Flexor pollicis brevis
Non-septate hyphae with a tendency to branch at 90 degree angle is characteristic of:,A. Mucormycosis
"Minimum reabsorption through renal tubule, among the following: Glucose, HCO3, Urea, Uric acid",C. Urea
Caudate lobe of liver corresponds to which segment of Counaud's classification,A. Segment I
Apex of maxillary sinus points towards,A. Zygomatic bone
Continuous cell culture of bacteria,C. Chemostat device
Which is the most common tumor associated with superior vena cava syndrome?,A. Lung cancer
Which of the following can be found in ocular muscles? Answer Choices: A. Trichinella B. Ascaris C. Enterobius D. None,A. Trichinella
"Meniscal tears usually result from which of the following circumstances?
Answer Choices:
A. Hyperextension
B. Flexion and rotation
C. Simple hyperflexion
D. Compression",B. Flexion and rotation
Pars flaccida of the tympanic membrane is also called as,B. Shrapnel's membrane
Healthworker hand washing practices - which statement is correct?,B
Shenton line is seen in X-ray of,D. Hip
"A 37-year-old man is admitted with productive cough, fever, night sweats, ill-defined consolidation on CXR, mediastinal lymphadenopathy, sputum AFB positive. Lymph node biopsy would most likely show which pathologic finding?",Caseating granulomas
Most common abdominal mass in children: A) Hydronephrosis B) Wilms' tumor C) Neuroblastoma D) Rhabdomyosarcoma,A
"All of the following statement about Renal Calculi are true, Except:
A. Cystine stones form in acidic urine
B. Struvite stones form in alkaline urine
C. Oxalate stones are radiopaque
D. Uric acid stones are resistant to ESWL",D. Uric acid stones are resistant to ESWL
"Zidovudine toxicity is increased by all except
Answer Choices:
A. Azithromycin
B. Probencid
C. Cisplatin
D. Cyclophosphamide",A. Azithromycin
Normal size but non functioning uterus is usually associated with,B. Uterine synechiae
"25yr male with thyroid swelling, biopsy showing intense lymphocytic infiltration + Hürthle cell change, increased TSH.",A. Hashimoto's thyroiditis
Which of the following is not a characteristic of right sided failure? A. Pulmonary oedema B. Ascites C. Oliguria D. Dependent,A. Pulmonary oedema
The lineage specific marker for B cells is,A. CD 19
Reversible loss of polarity with abnormality in size and shape of cells is known as -,B. Dysplasia
The most common form of dissociative hysteria is:,B. Amnesia
"Which of the following nucleus in brain is common to IX, X & XI cranial nerves?",B. Nucleus ambiguus
Schaumann bodies are seen in - Answer Choices: A. Sarcoidosis B. Chronic bronchitis C. Asthma D. Syphilis,A. Sarcoidosis
A double apical impulse is seen in,D. HOCM
Which of the following drugs is associated with untoward side effect of renal tubular damage? Answer Choices: A. Cisplatin B. Steptozotocin C. Methysergide D. Cyclophosphamide,A. Cisplatin
"An 8 years old boy from Bihar presents with a 6 months history of an ill defined, hypopigmented slightly atrophic macule on the face. The most likely diagnosis is: A. Pityriasis alba B. Indeterminate leprosy C. Vitiligo D. Calcium deficiency",A. Pityriasis alba
Digoxin toxicity it can be increased by all except,B. Hyperkalemia
Which of the following can prevent neural tube defects in pregnancy?,C. Folic acid
Which of the following agent is used in day care surgery?,A. Propofol
"Flexion, adduction and medial rotation of arm is done by which muscle",B. Pectoralis major
For acute leukaemia the blast cells should be more than ____%- Answer Choices: A. 10 B. 20 C. 30 D. 40,B. 20
Most common cause of primary hyperparathyroidism,C. Parathyroid adenoma
"O2 delivery to tissues depends on all of the following factors, EXCEPT:
Answer Choices:
A. Cardiac output
B. Type of fluid administered
C. Hemoglobin concentration
D. Affinity of hemoglobin for O2",B. Type of fluid administered
Which one of the following hepatic lesions can be diagnosed with high accuracy by using nuclear imaging? Answer Choices: A. Hepatocellular Carcinoma B. Hepatic Adenoma C. Focal Nodular Hyperplasia D. Cholangiocarcinoma,C. Focal Nodular Hyperplasia
"In a patient with poor glycemic control, hypertriglyceridemia, low HDL, which of the following drug Rx would be best without the risk of myositis as its side effect? Answer Choices: A. Fibric acid derivatives B. Nicotinic acid C. Atorvastatin D. Simvastatin",A. Fibric acid derivatives
Which of the following is commonest primary intraocular tumour in childhood?,B. Retinoblastoma
"All of the following are seen in polycythemia rubra vera except :
Answer Choices:
A. Increased Vit B12 binding capacity (>9000 micromols/dL)
B. Decreased LAP Score
C. Leucocytosis
D. Increased platelets",B. Decreased LAP Score
"21M with surgical neck humerus fracture, regimental badge sign, abduction difficulty - identify injured structure",B. Axillary nerve injury
"Malignant hyperthermia is caused due to which of the following mechanism? Answer Choices: A. Increased intracellular Na, B. Decreased intracellular chlorine, C. Increased intracellular Ca, D. Increased serum K",C. Increased intracellular Ca
Posterior cardinal vein develops into: Answer Choices: A. Superior vena cava B. Internal jugular vein C. External jugular vein D. Common iliac vein,D. Common iliac vein
The 'gp 120' in HIV helps in:,A. Virus attachment
"Short stature, secondary to growth hormone deficiency is associated with -",A. Normal body propoion
The tissues most sensitive to atropine are,"A. The salivary, bronchial and sweat glands"
Most common cause of scleritis - Answer Choices: A. Rheumatoid arthritis B. SLE C. Sjogren's Syndrome D. Behcet's Disease,A. Rheumatoid arthritis
A 52 year old woman has long standing rheumatoid ahritis (RA) and is being treated with coicosteroids and nonsteroidal anti-inflammatory drugs (NSAIDs). Which of the following cardiac complications may arise in this clinical setting? Answer Choices: A. Constrictive pericarditis B. Dilated cardiomyopathy C. Hypersensitivity myocarditis D. Restrictive cardiomyopathy,A. Constrictive pericarditis
Ankylosing spondylitis may be associated with,C. Aoic incompetence
LASIK (Laser assisted in situ keratomileusis) is useful in treatment of,D. All of the above
Tumor marker for Ca colon for follow up,A. CEA
Keshan disease is caused by deficiency of:,C. Selenium
"A 60-year-old heavy smoker presents with breathlessness, emaciation, anxiety, and barrel chest. What additional clinical finding is expected?",A
MRI is contraindicated in patients with:,A. Metallic foreign body in eye
An 18-year-old male with aggressive periodontitis; which subantimicrobial-dose antibiotic is used as adjunctive host modulation therapy?,C. Subantimicrobial-dose doxycycline
Bleeding time is not prolonged in-,D. Polycythemia
Which of the following drugs is recommended for the treatment of Heparin Induced thrombocytopenia? Answer Choices: A. Abciximab B. Lepirudin C. Warfarin D. Alteplase,Lepirudin
